Indicator,Category
Better financially,personal
Worse financially,personal
Business conditions,general
Business environment,general
State of the economy,general
Unemployment,general
Economic Depression,general
Government Economic Policy,policy
Out of work,general
Economic policy,policy
Interest rates,policy
Rising prices,prices
Disposable income,personal
Incomes,personal
Family income,personal
Gasoline prices,prices
Own a home,personal
Market value of home,personal
House prices,personal
Inflation,prices
Standard of living,general
Stock market,general
Cost of living,prices
