date,type,tweet
2016-01-21 06:05:44,3,"China Crash to Trigger ‘Financial Ice Age,’ Global Economic Depression https://t.co/Krg6Nos0Se"
2016-01-25 01:04:20,3,Australia National Australia Bank's Business Conditions down to 7 from previous 10 https://t.co/Yz611egu47
2016-01-25 07:46:29,1,RT https://t.co/xvRe5mkdKG: Do you realize that 50% of small business owners feel that business conditions are excellent?https://t.co/hpqrA…
2016-01-27 13:25:13,1,"How a Mother of 3 Started a Weekend Business to Bring in $20,000 in Extra Family Income: We are so inspired by... https://t.co/0iLt7ASZUm"
2016-01-27 15:19:02,1,Awesome presentation on the state of the economy today at Synergy Network. Thanks Brad and Mark. @EEDC https://t.co/5NaHATBGGc
2016-01-28 14:00:41,3,"""where's mom"" ""died alrdy"" erm bitch she ur wife and she my mom, respect her cuz she's the one providing most of the family income"
2016-01-29 07:27:36,3,Manufacturing production growth in Austria accelerates in January: Business conditions in Austria’s manufactur... https://t.co/C7L1EIlgPh
2016-01-29 11:06:10,1,Ensure you have a #creative #business environment to get the best out of your team. #Innovation happens when everyone contributes
2016-01-29 16:39:59,3,".@martha_j_bailey, @dynarski look at association between family income and college enrollment/completion. https://t.co/N6hZDzJ59H"
2016-01-29 17:00:04,3,Why Are Companies' IT Transformations Lagging?: Today's business environment requires advanc... https://t.co/vXc25KRX4R #timeboxx #BA #PM
2016-01-30 00:29:45,3,@BurlingtonGazet these prices makes it tough for young tech engineers in Burlington to own a home. Starter homes needed! | @buyselloakville
2016-01-30 02:14:39,3,@KamenEntchev    Does this make ticket prices go up! 😮$$
2016-01-30 03:19:20,1,Ton of disposable income/Great credit
2016-01-30 07:04:24,2,"""Gasoline prices may be about to spike -- here's why: https://t.co/prtc5vjdzq"""
2016-01-30 08:53:46,3,I'm facinated by network science and its application in economic policy.
2016-01-30 11:09:48,2,Gasoline prices may be about to spike https://t.co/O6pl9OACZT
2016-01-30 17:39:49,1,"New cocktail bar, Houston’s cost of living and hot restaurant openings lead the week’s top stories https://t.co/Z0DJrKB9YK"
2016-01-30 21:08:04,3,What are i bare of advanced gemsbok dog racing handicapping but method flush does ego cost of living: WxI https://t.co/9Abrqo1CPZ
2016-01-30 22:32:47,2,IM ALMOST OUT OF WORK
2016-01-30 22:47:00,3,#The Spanish Debt Crisis and also the Latest Stock Market Reports https://t.co/1KH8xSmYrJ
2016-01-30 22:49:12,2,Out of work &amp; now mass 💗 https://t.co/YYlAvcuWwe by vaaleriamorenoo #phhhoto https://t.co/6rSLCM9AWn
2016-01-30 23:03:48,3,"@RyanPitcher @janectid66 But that's business, if I gave you £250k to buy a house and you sold it for £300k the 50k generated is a result of"
2016-01-30 23:35:07,3,nytimes: Myanmar has an elephant unemployment crisis https://t.co/bljw0HoCZn https://t.co/fYgsj1v12B https://t.co/YFxddiW0lp #NewsInTweets
2016-02-24 00:55:48,2,"Magaling mag spin ang writer hindi nga lang nya alam ang ibig sabihin ng ""economic depression"""
2016-02-29 08:42:10,2,"""Need truly-EU integration policies, specifically for women #refugees, to help raise family income+avoid concentration in ghettos @ShChrista"
2016-02-29 13:46:04,2,"America's broken drug system: Short supplies, randomly rising prices and no solution in sight… https://t.co/cxCJxXSQLw"
2016-02-29 14:53:17,3,"Average family income for a college student is $54,174 and the average family income for an Iona student is $93,374. Wow"
2016-02-29 16:34:58,1,@XO_alebrianna I'm doing a little better financially so I would love to buy you and Darrion breakfast this morning. I can pick you up
2016-03-01 00:03:22,3,New Blog Post How to Sell a House With Tenants - As the real estate market continues to recover in many parts o... https://t.co/i5hHSOIQTA
2016-03-01 01:18:19,2,@smsaideman Never understanding that the standard of living they want would collapse overnight if that happened. /2x
2016-03-01 11:56:42,1,"When blessed financially, don't raise your standard of living, raise your standard of #giving. #humanity #GivingTuesday #RefugeeCrisis"
2016-03-01 14:44:05,3,@joecarter but what if Christians believe that national security concerns/issues stem from social and economic policy?
2016-03-01 15:53:57,3,* LAST DAY for Patriots' Ball EARLY BIRD tickets; prices go up after today:... https://t.co/q7QWTj2IxQ
2016-03-01 16:49:19,1,City budget to offer free tuition for students w low family income. What are your thoughts and opinions? #TO #edu https://t.co/rYa3aLDeUD
2016-03-01 16:49:32,,Just helped my mom buy a car cuz she deserves it 😊💯
2016-03-01 16:51:42,,@HelenClarkUNDP encourages young people to make their voice heard on policies that impact their lives-business environment &amp; education @undp
2016-03-01 17:08:41,,Nobody should ever buy a car from any Atlantic dealership
2016-03-01 17:30:00,1,Why House Prices Have Hit a New High $NLY $AGNC $CLNY $NRF https://t.co/qIeMakw3co
2016-03-01 19:00:02,3,The only reason I want to buy a house on land is so I can build a dog farm. Not the bad kind of dog farms. The happy kind
2016-03-01 19:01:28,2,"@babylmv like I have not learn how to do taxes,how to get a good Credit score to buy a house or car"
2016-03-01 19:14:45,2,@Jacob_B_Shaver @Bernlennials And bankrupt a nation while forgetting how you got the rights and standard of living you have.
2016-03-01 22:10:40,3,Perth house prices fall again - The West Australian https://t.co/d2JMkNwDSd via @Yahoo7
2016-03-01 22:53:12,,Heads Up: February's NZD QV House Prices due at 23:00 GMT(15min). 12.6% y/y prior ~ via @365CryptoFX
2016-03-01 23:03:48,,@mathclubnz @grantrobertson1 the current set min wages don't cover the level of cost of living rising #thatstherealfacts
2016-03-01 23:11:46,,Why House Prices Have Hit a New Record #realestate #zillow https://t.co/hJ6jfYxbJd
2016-03-01 23:14:55,3,How to Sell a House With Tenants https://t.co/NI8eurjO4B
2016-03-01 23:26:12,,"@jayhipps terrorism, dividing the country , unemployment , debt like we've never seen before, it's been an awful 7 yrs."
